Serving HTTP on 0.0.0.0 port 8099 (http://0.0.0.0:8099/) ...
127.0.0.1 - - [02/Sep/2026 19:11:22] "HEAD / HTTP/1.0" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET / HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET /site_libs/quarto-nav/quarto-nav.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET /site_libs/clipboard/clipboard.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET /site_libs/quarto-search/autocomplete.umd.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET /site_libs/quarto-search/fuse.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET /site_libs/quarto-search/quarto-search.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET /site_libs/quarto-html/quarto.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET /site_libs/quarto-html/tabsets/tabsets.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:32] "GET /site_libs/quarto-html/popper.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:33] "GET /site_libs/quarto-html/tippy.umd.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:33] "GET /site_libs/quarto-html/tippy.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:33] "GET /site_libs/quarto-html/quarto-syntax-highlighting-64a204ab8560d761af7679ceaba22944.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:33] "GET /site_libs/bootstrap/bootstrap-icons.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:33] "GET /site_libs/bootstrap/bootstrap.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:33] "GET /site_libs/bootstrap/bootstrap-2509606372cd5e8cdac7b219c213e0ff.min.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:33] "GET /styles.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:33] "GET /assets/tiago2.png HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:34] "GET /site_libs/bootstrap/bootstrap-icons.woff?e34853135f9e39acf64315236852cd5a HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:13:34] "GET /assets/favicon.png HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //about.html HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-nav/quarto-nav.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/clipboard/clipboard.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-search/autocomplete.umd.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-search/quarto-search.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-search/fuse.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-html/quarto.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-html/tabsets/tabsets.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-html/popper.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-html/tippy.umd.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-html/tippy.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/quarto-html/quarto-syntax-highlighting-64a204ab8560d761af7679ceaba22944.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/bootstrap/bootstrap.min.js HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/bootstrap/bootstrap-icons.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //styles.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:42] "GET //site_libs/bootstrap/bootstrap-2509606372cd5e8cdac7b219c213e0ff.min.css HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:43] "GET //assets/tiago2.png HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:43] "GET //site_libs/bootstrap/bootstrap-icons.woff?e34853135f9e39acf64315236852cd5a HTTP/1.1" 200 -
10.195.196.2 - - [02/Sep/2026 19:14:43] "GET //assets/favicon.png HTTP/1.1" 200 -
